Frase;Implicito/Explicito;Funcionalidade Desejada
Tá frio demais aqui.;implicito;Desligar o ventilador.

Esse vento tá me atrapalhando a ler.;implicito;Desligar o ventilador.

Ligar a televisão.;explicito;Ligar a televisão.

Por que a TV ainda tá desligada?;implicito;Ligar a televisão.

Quero ver as notícias, liga a TV?;explicito;Ligar a televisão.

Cansei de assistir, vou fazer outra coisa.;implicito;Desligar a televisão.

Estou com sono, vou desligar a TV.;explicito;Desligar a televisão.

Não tô entendendo o que estão falando na TV.;implicito;Aumentar o volume.

O volume da TV tá muito baixo.;implicito;Aumentar o volume.

O que é que ela disse na TV?;implicito;Aumentar o volume.

O que foi que você disse? Não consigo te ouvir.;implicito;Diminuir o volume.

Não estou conseguindo ouvir nada.;implicito;Diminuir o volume.

O volume tá muito alto.;implicito;Diminuir o volume.

Queria assistir outra coisa, tá chato.;implicito;Trocar de canal.

Não sei por que ainda tô assistindo isso.;implicito;Trocar de canal.

Esse canal tá muito ruim.;implicito;Trocar de canal.

Acenda a luz.;explicito;Acender a lâmpada.

Por favor, ligue a luz.;explicito;Acender a lâmpada.

Esta escuro, poderia acender a luz.;explicito;Acender a lâmpada.

Desligue a luz.;explicito;Apagar a lâmpada.

Esta muito claro.;implicito;Apagar a lâmpada.

Chega de luz, apague.;explicito;Apagar a lâmpada.

Ligue o ventilador.;explicito;Ligar o ventilador.

Ta quente, seria bom um ventilador;implicito;Ligar o ventilador.

Podia vir um vento.;implicito;Ligar o ventilador.

Desligue o ventilador.;explicito;Desligar o ventilador.

Chega desse vento.;implicito;Desligar o ventilador.

Esse ventilador está me incomodando.;implicito;Desligar o ventilador.

Ligue a televisão.;explicito;Ligar a televisão.

Quero assitir algo, uma TV seria bom.;implicito;Ligar a televisão.

Seria bom um filme em.;implicito;Ligar a televisão.

Desligue a televisão.;explicito;Desligar a televisão.

Cansei de assistir TV.;implicito;Desligar a televisão.

Ta dificil me concentrar com essa TV ligada.;implicito;Desligar a televisão.

Aumente o volume da televisão.;explicito;Aumentar o volume.

Não to ouvindo nada da TV.;implicito;Aumentar o volume.

Da pra subir o volume ai.;implicito;Aumentar o volume.

Diminua o volume da televisão.;explicito;Diminuir o volume.

Ta muito alto essa TV.;implicito;Diminuir o volume.

Não tem ninguém surdo aqui, pra que esse volume todo ?;implicito;Diminuir o volume.

Troque o canal da televisão.;explicito;Trocar de canal.

Já cansei de ver isso.;implicito;Trocar de canal.

Que tal um canal de esporte.;implicito;Trocar de canal.

Ligar luz;explicito;Acender a lâmpada.

Ligar a luz;explicito;Acender a lâmpada.

Iluminar o ambiente;implicito;Acender a lâmpada.

Já está claro o dia!;implicito;Apagar a lâmpada.

Vamos economizar energia?;implicito;Apagar a lâmpada.

Casa, apague a luz;explicito;Apagar a lâmpada.

O ar está muito parado;implicito;Ligar o ventilador.

Está muito quente aqui;implicito;Ligar o ventilador.

Que calor!;implicito;Ligar o ventilador.

Está muito barulho, desligue o ventilador;explicito;Desligar o ventilador.

Já chega de ventilador;implicito;Desligar o ventilador.

desligue o ventilador;explicito;Desligar o ventilador.

quero ver tv;implicito;Ligar a televisão.

ligue a tv;explicito;Ligar a televisão.

tv, ligar;explicito;Ligar a televisão.

Agora vou dormir, desligue a tv;explicito;Desligar a televisão.

Tchau tv;implicito;Desligar a televisão.

Tv, desligue;explicito;Desligar a televisão.

Não consigo ouvir;implicito;Aumentar o volume.

Que barulho! Não consigo ouvir a tv;implicito;Aumentar o volume.

televisão fale mais alto!;implicito;Aumentar o volume.

Silêncio!;implicito;Diminuir o volume.

Que barulho!;implicito;Diminuir o volume.

Vai acordar o bebê!;implicito;Diminuir o volume.

Que filme chato! Troque pra mim?;implicito;Trocar de canal.

Trocar canal;explicito;Trocar de canal.

Escolher outra programação;implicito;Trocar de canal.
